Updated 04/25/25 at 12:07am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Devin Neal,RB48,RB,FA,3274,-1.0,Yes,RB50,2592,,0
Brenton Strange,TE21,TE,JAC,3271,24.3,No,TE21,2750,,0
Ray Davis,RB49,RB,BUF,3260,25.4,No,RB48,2627,,0
Christian Watson,WR67,WR,GBP,3230,26.0,No,WR66,2662,,0
Ben Sinnott,TE22,TE,WAS,3227,22.9,No,TE22,2693,,0
Dontayvion Wicks,WR68,WR,GBP,3225,23.8,No,WR69,2637,,0
2027 Late 2nd,,PI,,3218,,,,2659.99,,0
J.K. Dobbins,RB50,RB,LAC,3169,26.4,No,RB52,2572,,0
Jayden Higgins,WR69,WR,FA,3146,-1.0,Yes,WR68,2642,,0
Dallas Goedert,TE23,TE,PHI,3130,30.3,No,TE23,2643,,0
Marquise Brown,WR70,WR,KCC,3127,27.9,No,WR70,2624,,0
Ja'Tavion Sanders,TE24,TE,CAR,3125,22.1,No,TE24,2593,,0
Trevor Etienne,RB51,RB,FA,3124,-1.0,Yes,RB53,2379,,0
Javonte Williams,RB52,RB,DAL,3111,25.0,No,RB49,2613,,0
Tyler Allgeier,RB53,RB,ATL,3083,25.0,No,RB51,2579,,0
2025 Early 3rd,,PI,,3059,,,,2596,,0
Wan'Dale Robinson,WR71,WR,NYG,3010,24.3,No,WR71,2525,,0
Jalen Milroe,QB28,QB,FA,2992,-1.0,Yes,QB31,3032,,0
Ollie Gordon,RB54,RB,FA,2979,-1.0,Yes,RB56,2338,,0
Demario Douglas,WR72,WR,NEP,2950,24.4,No,WR72,2409,,0
Audric Estime,RB55,RB,DEN,2926,21.6,No,RB59,2276,,0
Rico Dowdle,RB56,RB,CAR,2923,26.9,No,RB57,2314,,0
Troy Franklin,WR73,WR,DEN,2917,22.2,No,WR74,2318,,0
MarShawn Lloyd,RB57,RB,GBP,2910,24.3,No,RB55,2358,,0
Jerome Ford,RB58,RB,CLE,2888,25.6,No,RB54,2375,,0
Kendre Miller,RB59,RB,NOS,2850,22.9,No,RB58,2299,,0
Matthew Stafford,QB29,QB,LAR,2830,37.2,No,QB30,3175,,0
Alec Pierce,WR74,WR,IND,2828,25.0,No,WR73,2339,,0
Isaiah Bond,WR75,WR,FA,2820,-1.0,Yes,WR76,2260,,0
Geno Smith,QB30,QB,LVR,2798,34.5,No,QB29,3446,,0
2025 Mid 3rd,,PI,,2737,,,,2455,,0
Joshua Palmer,WR76,WR,BUF,2723,25.6,No,WR77,2217,,0
2026 Early 3rd,,PI,,2715,,,,2349,,0
Amari Cooper,WR77,WR,BUF,2679,30.8,No,WR75,2259.99,,0
Michael Mayer,TE25,TE,LVR,2672,23.8,No,TE25,2289,,0
Michael Wilson,WR78,WR,ARI,2642,25.2,No,WR78,2211,,0
Elic Ayomanor,WR79,WR,FA,2629,-1.0,Yes,WR81,2122,,0
Chigoziem Okonkwo,TE26,TE,TEN,2625,25.6,No,TE30,2176,,0
Bhayshul Tuten,RB60,RB,FA,2615,-1.0,Yes,RB60,2257,,0
Mike Gesicki,TE27,TE,CIN,2590,29.6,No,TE26,2241,,0
Theo Johnson,TE28,TE,NYG,2585,24.2,No,TE29,2179,,0
Jaylin Noel,WR80,WR,FA,2572,-1.0,Yes,WR82,2121,,0
Kayshon Boutte,WR81,WR,NEP,2558,23.0,No,WR80,2131,,0
2025 Late 3rd,,PI,,2554,,,,2259,,0
Luke Musgrave,TE29,TE,GBP,2553.99,24.6,No,TE28,2188,,0
Keenan Allen,WR82,WR,CHI,2539,33.0,No,WR79,2163,,0
Noah Gray,TE30,TE,KCC,2533,26.0,No,TE27,2187.99,,0
2026 Mid 3rd,,PI,,2524,,,,2191,,0
Ja'Lynn Polk,WR83,WR,NEP,2509,23.0,No,WR84,2078,,0
Jordan Whittington,WR84,WR,LAR,2498,24.6,No,WR85,2061,,0
2027 Early 3rd,,PI,,2453,,,,2237,,0
Andrei Iosivas,WR85,WR,CIN,2443,25.5,No,WR83,2087,,0
